Date,WL_1018610,WL_1018640,WL_1018662,WL_1018675,WL_1019630,Target_1018683
7/17/2024 4:30,2.11,1.16,2,0.93,2.53,1.47
7/17/2024 4:40,2.11,1.15,2,0.95,2.52,1.47
7/17/2024 4:50,2.11,1.15,2,0.96,2.52,1.47
7/17/2024 5:00,2.11,1.15,1.99,0.96,2.51,1.47
7/17/2024 5:10,2.11,1.15,1.98,0.95,2.51,1.46
7/17/2024 5:20,2.11,1.15,1.97,0.95,2.49,1.46
7/17/2024 5:30,2.11,1.15,1.97,0.94,2.51,1.45
7/17/2024 5:40,2.11,1.15,1.97,0.93,2.5,1.44
7/17/2024 5:50,2.11,1.15,1.97,0.92,2.5,1.44
7/17/2024 6:00,2.11,1.15,1.96,0.91,2.5,1.43
7/17/2024 6:10,2.11,1.15,1.95,0.9,2.49,1.43
7/17/2024 6:20,2.11,1.15,1.95,0.88,2.49,1.43
7/17/2024 6:30,2.11,1.15,1.94,0.87,2.49,1.43
7/17/2024 6:40,2.11,1.15,1.94,0.86,2.48,1.42
7/17/2024 6:50,2.11,1.15,1.95,0.86,2.47,1.42
7/17/2024 7:00,2.11,1.15,1.94,0.85,2.47,1.42
7/17/2024 7:10,2.11,1.15,1.94,0.85,2.47,1.41
7/17/2024 7:20,2.11,1.16,1.93,0.84,2.47,1.41
7/17/2024 7:30,2.12,1.16,1.93,0.84,2.46,1.41
7/17/2024 7:40,2.12,1.16,1.93,0.86,2.46,1.41
7/17/2024 7:50,2.12,1.16,1.94,0.9,2.45,1.41
7/17/2024 8:00,2.12,1.16,1.94,0.97,2.45,1.41
7/17/2024 8:10,2.12,1.17,1.94,1.08,2.45,1.41
7/17/2024 8:20,2.12,1.19,1.98,1.11,2.45,1.42
7/17/2024 8:30,2.14,1.21,2.01,1.14,2.45,1.42
7/17/2024 8:40,2.16,1.22,2,1.19,2.46,1.42
7/17/2024 8:50,2.18,1.24,1.99,1.25,2.48,1.43
7/17/2024 9:00,2.24,1.29,2,1.48,2.43,1.47
7/17/2024 9:10,2.34,1.32,2.01,1.76,2.43,1.48
7/17/2024 9:20,2.39,1.35,2.05,2.06,2.45,1.5
7/17/2024 9:30,2.42,1.36,2.11,2.43,2.48,1.51
7/17/2024 9:40,2.44,1.39,2.14,2.87,2.5,1.5
7/17/2024 9:50,2.45,1.41,2.22,3.23,2.51,1.53
7/17/2024 10:00,2.46,1.42,2.29,3.45,2.52,1.56
7/17/2024 10:10,2.46,1.45,2.33,3.57,2.5,1.59
7/17/2024 10:20,2.46,1.46,2.39,3.6,2.52,1.63
7/17/2024 10:30,2.52,1.49,2.44,3.62,2.53,1.67
7/17/2024 10:40,2.66,1.5,2.5,3.59,2.55,1.7
7/17/2024 10:50,2.75,1.5,2.55,3.54,2.58,1.72
7/17/2024 11:00,2.82,1.5,2.59,3.49,2.6,1.74
7/17/2024 11:10,3.05,1.52,2.61,3.43,2.63,1.77
7/17/2024 11:20,3.18,1.55,2.63,3.35,2.65,1.8
7/17/2024 11:30,3.25,1.57,2.66,3.27,2.67,1.81
7/17/2024 11:40,3.57,1.61,2.67,3.18,2.69,1.83
7/17/2024 11:50,3.7,1.67,2.7,3.07,2.71,1.85
7/17/2024 12:00,3.8,1.71,2.73,2.97,2.73,1.87
7/17/2024 12:10,3.82,1.78,2.77,2.88,2.74,1.89
7/17/2024 12:20,3.85,1.87,2.81,2.78,2.75,1.91
7/17/2024 12:30,3.88,1.96,2.86,2.71,2.77,1.93
7/17/2024 12:40,3.91,2.03,2.92,2.63,2.77,1.95
7/17/2024 12:50,3.9,2.1,2.96,2.56,2.78,1.98
7/17/2024 13:00,3.89,2.15,3.03,2.52,2.8,2.01
7/17/2024 13:10,3.9,2.2,3.08,2.45,2.83,2.04
7/17/2024 13:20,3.85,2.22,3.14,2.4,2.88,2.07
7/17/2024 13:30,3.83,2.25,3.19,2.34,2.82,2.09
7/17/2024 13:40,3.83,2.27,3.24,2.3,2.83,2.13
7/17/2024 13:50,3.82,2.28,3.27,2.25,2.85,2.17
7/17/2024 14:00,3.74,2.29,3.3,2.2,2.87,2.21
7/17/2024 14:10,3.62,2.29,3.33,2.14,2.9,2.22
7/17/2024 14:20,3.56,2.29,3.36,2.09,2.92,2.25
7/17/2024 14:30,3.52,2.29,3.4,2.04,2.95,2.26
7/17/2024 14:40,3.47,2.26,3.4,1.99,2.97,2.28
7/17/2024 14:50,3.45,2.23,3.4,1.95,3,2.31
7/17/2024 15:00,3.44,2.2,3.4,1.91,3.01,2.32
7/17/2024 15:10,3.43,2.18,3.4,1.87,3.04,2.34
7/17/2024 15:20,3.43,2.15,3.39,1.86,3.05,2.35
7/17/2024 15:30,3.43,2.12,3.38,1.85,3.08,2.35
7/17/2024 15:40,3.41,2.11,3.37,1.84,3.1,2.36
7/17/2024 15:50,3.41,2.09,3.37,1.84,3.1,2.37
7/17/2024 16:00,3.41,2.08,3.37,1.81,3.11,2.37
7/17/2024 16:10,3.41,2.07,3.35,1.78,3.11,2.37
7/17/2024 16:20,3.4,2.06,3.35,1.75,3.11,2.38
7/17/2024 16:30,3.4,2.05,3.34,1.72,3.11,2.38
7/17/2024 16:40,3.39,2.04,3.33,1.7,3.1,2.38
7/17/2024 16:50,3.4,2.03,3.32,1.67,3.1,2.37
7/17/2024 17:00,3.39,2.02,3.32,1.64,3.1,2.37
7/17/2024 17:10,3.38,2.01,3.32,1.62,3.09,2.37
7/17/2024 17:20,3.38,2.01,3.31,1.6,3.09,2.37
7/17/2024 17:30,3.37,2,3.31,1.6,3.09,2.37
7/17/2024 17:40,3.37,2,3.31,1.58,3.08,2.37
7/17/2024 17:50,3.37,1.99,3.29,1.58,3.08,2.36
7/17/2024 18:00,3.37,1.98,3.28,1.6,3.08,2.36
7/17/2024 18:10,3.37,1.98,3.28,1.64,3.08,2.35
7/17/2024 18:20,3.37,1.98,3.27,1.65,3.08,2.35
7/17/2024 18:30,3.37,1.97,3.26,1.67,3.07,2.34
7/17/2024 18:40,3.36,1.97,3.25,1.66,3.07,2.34
7/17/2024 18:50,3.37,1.97,3.25,1.66,3.06,2.33
7/17/2024 19:00,3.36,1.96,3.25,1.65,3.07,2.33
7/17/2024 19:10,3.36,1.96,3.24,1.63,3.06,2.32
7/17/2024 19:20,3.36,1.96,3.24,1.62,3.06,2.31
7/17/2024 19:30,3.36,1.96,3.23,1.62,3.05,2.31
7/17/2024 19:40,3.36,1.96,3.23,1.61,3.05,2.31
7/17/2024 19:50,3.36,1.95,3.22,1.6,3.05,2.3
7/17/2024 20:00,3.37,1.95,3.21,1.6,3.04,2.29
7/17/2024 20:10,3.37,1.95,3.21,1.61,3.04,2.29
7/17/2024 20:20,3.37,1.95,3.2,1.62,3.03,2.28
7/17/2024 20:30,3.38,1.95,3.2,1.63,3.03,2.28
7/17/2024 20:40,3.37,1.95,3.19,1.65,3.03,2.27
7/17/2024 20:50,3.37,1.95,3.19,1.66,3.02,2.26
7/17/2024 21:00,3.37,1.95,3.18,1.69,3.01,2.26
7/17/2024 21:10,3.38,1.94,3.19,1.73,3.01,2.25
7/17/2024 21:20,3.36,1.94,3.18,1.76,3,2.25
7/17/2024 21:30,3.36,1.95,3.17,1.8,3,2.24
7/17/2024 21:40,3.36,1.94,3.16,1.82,2.99,2.24
7/17/2024 21:50,3.36,1.94,3.16,1.84,2.99,2.24
7/17/2024 22:00,3.36,1.94,3.16,1.87,2.98,2.23
7/17/2024 22:10,3.36,1.94,3.15,1.88,2.99,2.23
7/17/2024 22:20,3.38,1.94,3.16,1.87,2.98,2.22
7/17/2024 22:30,3.39,1.94,3.15,1.86,2.98,2.22
7/17/2024 22:40,3.4,1.93,3.15,1.85,2.97,2.22
7/17/2024 22:50,3.41,1.94,3.15,1.83,2.97,2.21
7/17/2024 23:00,3.41,1.94,3.15,1.82,2.97,2.21
7/17/2024 23:10,3.42,1.94,3.15,1.79,2.96,2.21
7/17/2024 23:20,3.41,1.94,3.15,1.76,2.96,2.2
7/17/2024 23:30,3.42,1.95,3.14,1.73,2.96,2.2
7/17/2024 23:40,3.42,1.95,3.15,1.7,2.96,2.2
7/17/2024 23:50,3.42,1.96,3.15,1.69,2.96,2.2
7/18/2024 0:00,3.42,1.96,3.15,1.66,2.96,2.2
7/18/2024 0:10,3.42,1.96,3.15,1.65,2.96,2.2
7/18/2024 0:20,3.42,1.96,3.15,1.66,2.96,2.2
7/18/2024 0:30,3.42,1.97,3.15,1.67,2.96,2.2
7/18/2024 0:40,3.42,1.96,3.15,1.7,2.96,2.2
7/18/2024 0:50,3.43,1.96,3.16,1.73,2.96,2.2
7/18/2024 1:00,3.43,1.96,3.16,1.75,2.96,2.2
7/18/2024 1:10,3.38,1.97,3.16,1.78,2.97,2.2
7/18/2024 1:20,3.37,1.97,3.16,1.79,2.96,2.2
7/18/2024 1:30,3.36,1.97,3.16,1.8,2.97,2.21
7/18/2024 1:40,3.35,1.97,3.16,1.81,2.96,2.21
7/18/2024 1:50,3.34,1.96,3.16,1.82,2.96,2.21
7/18/2024 2:00,3.34,1.96,3.16,1.85,2.96,2.21
7/18/2024 2:10,3.34,1.95,3.17,1.84,2.96,2.22
7/18/2024 2:20,3.34,1.95,3.15,1.84,2.98,2.22
7/18/2024 2:30,3.33,1.94,3.16,1.84,2.98,2.22
7/18/2024 2:40,3.29,1.94,3.16,1.84,2.99,2.22
7/18/2024 2:50,3.27,1.93,3.15,1.83,3.01,2.21
7/18/2024 3:00,3.26,1.93,3.15,1.83,3.03,2.21
7/18/2024 3:10,3.26,1.92,3.15,1.84,3.1,2.21
7/18/2024 3:20,3.25,1.92,3.15,1.86,3.18,2.21
7/18/2024 3:30,3.24,1.91,3.13,1.9,3.25,2.21
7/18/2024 3:40,3.25,1.9,3.13,1.96,3.33,2.22
7/18/2024 3:50,3.24,1.89,3.13,2.04,3.39,2.26
7/18/2024 4:00,3.23,1.88,3.12,2.13,3.44,2.32
7/18/2024 4:10,3.2,1.89,3.15,2.23,3.44,2.39
7/18/2024 4:20,3.19,1.89,3.21,2.34,3.44,2.45
7/18/2024 4:30,3.19,1.88,3.23,2.46,3.44,2.51
7/18/2024 4:40,3.18,1.88,3.28,2.54,3.45,2.56
7/18/2024 4:50,3.18,1.87,3.33,2.61,3.46,2.58
7/18/2024 5:00,3.18,1.88,3.39,2.67,3.46,2.6
7/18/2024 5:10,3.18,1.87,3.43,2.73,3.48,2.62
7/18/2024 5:20,3.18,1.87,3.46,2.72,3.49,2.63
7/18/2024 5:30,3.18,1.87,3.48,2.7,3.49,2.65
7/18/2024 5:40,3.19,1.87,3.5,2.65,3.5,2.66
7/18/2024 5:50,3.19,1.87,3.51,2.61,3.52,2.67
7/18/2024 6:00,3.18,1.87,3.51,2.57,3.52,2.69
7/18/2024 6:10,3.18,1.88,3.54,2.57,3.52,2.7
7/18/2024 6:20,3.18,1.88,3.55,2.55,3.52,2.73
7/18/2024 6:30,3.18,1.87,3.58,2.6,3.51,2.74
7/18/2024 6:40,3.21,1.87,3.59,2.62,3.51,2.74
7/18/2024 6:50,3.26,1.88,3.61,2.66,3.51,2.75
7/18/2024 7:00,3.33,1.89,3.63,2.7,3.5,2.75
7/18/2024 7:10,3.39,1.89,3.64,2.73,3.5,2.76
7/18/2024 7:20,3.43,1.91,3.66,2.75,3.49,2.77
7/18/2024 7:30,3.45,1.93,3.7,2.79,3.48,2.79
7/18/2024 7:40,3.46,1.96,3.72,2.85,3.47,2.8
7/18/2024 7:50,3.48,1.98,3.75,2.92,3.47,2.81
7/18/2024 8:00,3.49,2.02,3.77,2.93,3.47,2.82
7/18/2024 8:10,3.5,2.04,3.8,2.95,3.46,2.83
7/18/2024 8:20,3.51,2.06,3.83,2.98,3.47,2.84
7/18/2024 8:30,3.52,2.08,3.85,2.98,3.48,2.85
7/18/2024 8:40,3.51,2.1,3.87,3,3.47,2.86
7/18/2024 8:50,3.52,2.11,3.89,3.01,3.47,2.87
7/18/2024 9:00,3.53,2.13,3.9,2.99,3.49,2.88
7/18/2024 9:10,3.55,2.14,3.92,2.99,3.49,2.89
7/18/2024 9:20,3.56,2.14,3.93,2.93,3.5,2.9
7/18/2024 9:30,3.56,2.15,3.94,2.91,3.5,2.9
7/18/2024 9:40,3.56,2.16,3.96,2.88,3.51,2.91
7/18/2024 9:50,3.57,2.17,3.97,2.88,3.51,2.92
7/18/2024 10:00,3.57,2.18,3.97,2.91,3.51,2.93
7/18/2024 10:10,3.58,2.19,3.99,2.94,3.52,2.94
7/18/2024 10:20,3.59,2.19,4,2.92,3.52,2.95
7/18/2024 10:30,3.73,2.2,4.01,2.91,3.53,2.95
7/18/2024 10:40,3.86,2.2,4.02,2.9,3.54,2.96
7/18/2024 10:50,3.96,2.21,4.02,2.89,3.54,2.96
7/18/2024 11:00,4.03,2.23,4.04,2.88,3.54,2.97
7/18/2024 11:10,4.1,2.28,4.07,2.86,3.54,2.98
7/18/2024 11:20,4.28,2.33,4.09,2.81,3.55,3
7/18/2024 11:30,4.35,2.38,4.12,2.75,3.55,3
7/18/2024 11:40,4.38,2.42,4.16,2.72,3.56,3.01
7/18/2024 11:50,4.42,2.48,4.2,2.66,3.55,3.01
7/18/2024 12:00,4.61,2.55,4.24,2.64,3.56,3.06
7/18/2024 12:10,4.74,2.59,4.31,2.6,3.55,3.08
7/18/2024 12:20,4.82,2.64,4.34,2.56,3.56,3.09
7/18/2024 12:30,4.87,2.72,4.39,2.52,3.57,3.1
7/18/2024 12:40,4.93,2.78,4.46,2.47,3.59,3.15
7/18/2024 12:50,4.96,2.86,4.53,2.45,3.6,3.2
7/18/2024 13:00,5.01,2.91,4.61,2.44,3.63,3.27
7/18/2024 13:10,5.04,2.98,4.68,2.45,3.64,3.25
7/18/2024 13:20,5.07,3.04,4.75,2.5,3.68,3.33
7/18/2024 13:30,5.13,3.08,4.82,2.59,3.7,3.38
7/18/2024 13:40,5.24,3.13,4.9,2.7,3.73,3.44
7/18/2024 13:50,5.33,3.15,4.95,2.78,3.76,3.48
7/18/2024 14:00,5.38,3.21,5.02,2.86,3.8,3.53
7/18/2024 14:10,5.43,3.27,5.1,2.93,3.84,3.59
7/18/2024 14:20,5.46,3.34,5.2,3.01,3.87,3.65
7/18/2024 14:30,5.48,3.37,5.29,3.09,3.9,3.71
7/18/2024 14:40,5.54,3.44,5.36,3.18,3.94,3.79
7/18/2024 14:50,5.56,3.5,5.45,3.23,3.98,3.81
7/18/2024 15:00,5.6,3.55,5.54,3.29,4.01,3.92
7/18/2024 15:10,5.62,3.58,5.61,3.37,4.07,3.99
7/18/2024 15:20,5.65,3.64,5.68,3.41,4.1,4.04
7/18/2024 15:30,5.66,3.66,5.77,3.45,4.15,4.06
7/18/2024 15:40,5.7,3.7,5.84,3.48,4.19,4.14
7/18/2024 15:50,5.72,3.74,5.89,3.48,4.23,4.17
7/18/2024 16:00,5.73,3.74,5.97,3.44,4.26,4.32
7/18/2024 16:10,5.74,3.78,6.03,3.43,4.3,4.3
7/18/2024 16:20,5.77,3.81,6.08,3.39,4.34,4.36
7/18/2024 16:30,5.79,3.83,6.13,3.34,4.38,4.42
7/18/2024 16:40,5.8,3.85,6.18,3.29,4.41,4.45
7/18/2024 16:50,5.77,3.86,6.22,3.22,4.44,4.46
7/18/2024 17:00,5.8,3.86,6.25,3.15,4.47,4.49
7/18/2024 17:10,5.84,3.83,6.33,3.06,4.49,4.58
7/18/2024 17:20,5.94,3.8,6.35,2.98,4.52,4.53
7/18/2024 17:30,5.99,3.82,6.37,2.9,4.54,4.59
7/18/2024 17:40,6.05,3.83,6.39,2.81,4.56,4.67
7/18/2024 17:50,6.07,3.87,6.42,2.74,4.58,4.64
7/18/2024 18:00,6.08,3.92,6.45,2.67,4.58,4.67
7/18/2024 18:10,6.11,3.93,6.5,2.59,4.6,4.73
7/18/2024 18:20,6.12,3.99,6.52,2.51,4.6,4.73
7/18/2024 18:30,6.13,3.99,6.55,2.44,4.61,4.76
7/18/2024 18:40,6.13,3.98,6.58,2.38,4.62,4.76
7/18/2024 18:50,6.16,4,6.6,2.32,4.62,4.83
7/18/2024 19:00,6.16,4.03,6.62,2.26,4.64,4.81
7/18/2024 19:10,6.15,4.05,6.63,2.22,4.63,4.86
7/18/2024 19:20,6.16,4.03,6.65,2.16,4.64,4.89
7/18/2024 19:30,6.1,4.09,6.67,2.11,4.64,4.83
7/18/2024 19:40,6.19,4.08,6.69,2.07,4.65,4.87
7/18/2024 19:50,6.17,4.05,6.69,2.03,4.65,4.91
7/18/2024 20:00,6.19,4.07,6.71,2,4.66,4.89
7/18/2024 20:10,6.2,4.09,6.71,1.97,4.67,4.92
7/18/2024 20:20,6.18,4.07,6.72,1.93,4.67,4.98
7/18/2024 20:30,6.18,4.08,6.74,1.9,4.67,4.95
7/18/2024 20:40,6.15,4.08,6.74,1.87,4.67,4.93
7/18/2024 20:50,6.14,4.11,6.74,1.84,4.69,4.93
7/18/2024 21:00,6.13,4.1,6.75,1.83,4.68,4.92
7/18/2024 21:10,6.09,4.06,6.74,1.81,4.67,4.91
7/18/2024 21:20,6.06,4.08,6.75,1.78,4.67,4.96
7/18/2024 21:30,6,4.06,6.74,1.75,4.67,4.96
7/18/2024 21:40,5.94,4.06,6.73,1.73,4.68,4.98
7/18/2024 21:50,5.92,4.03,6.71,1.71,4.69,4.97
7/18/2024 22:00,5.88,3.99,6.7,1.7,4.69,4.94
7/18/2024 22:10,5.88,3.96,6.68,1.69,4.68,4.94
7/18/2024 22:20,5.87,3.93,6.66,1.66,4.68,4.98
7/18/2024 22:30,5.83,3.93,6.63,1.64,4.68,4.93
7/18/2024 22:40,5.83,3.9,6.61,1.63,4.67,4.92
7/18/2024 22:50,5.8,3.88,6.6,1.61,4.67,4.89
7/18/2024 23:00,5.8,3.84,6.58,1.6,4.65,4.89
7/18/2024 23:10,5.81,3.85,6.55,1.59,4.65,4.87
7/18/2024 23:20,5.79,3.78,6.53,1.57,4.64,4.87
7/18/2024 23:30,5.79,3.81,6.51,1.56,4.63,4.87
7/18/2024 23:40,5.76,3.81,6.5,1.54,4.62,4.84
7/18/2024 23:50,5.78,3.81,6.48,1.52,4.62,4.81
7/19/2024 0:00,5.76,3.78,6.45,1.51,4.61,4.81
7/19/2024 0:10,5.75,3.76,6.46,1.51,4.59,4.82
7/19/2024 0:20,5.76,3.79,6.42,1.5,4.59,4.8
7/19/2024 0:30,5.74,3.76,6.42,1.49,4.58,4.76
7/19/2024 0:40,5.74,3.75,6.4,1.47,4.57,4.75
7/19/2024 0:50,5.75,3.71,6.4,1.46,4.57,4.74
7/19/2024 1:00,5.73,3.72,6.38,1.45,4.55,4.75
7/19/2024 1:10,5.7,3.7,6.38,1.44,4.55,4.73
7/19/2024 1:20,5.67,3.73,6.36,1.43,4.53,4.75
7/19/2024 1:30,5.64,3.7,6.34,1.43,4.53,4.7
7/19/2024 1:40,5.6,3.67,6.33,1.42,4.53,4.68
7/19/2024 1:50,5.59,3.65,6.31,1.4,4.51,4.68
7/19/2024 2:00,5.58,3.64,6.29,1.39,4.52,4.68
7/19/2024 2:10,5.56,3.6,6.27,1.38,4.51,4.67
7/19/2024 2:20,5.57,3.6,6.25,1.37,4.51,4.64
7/19/2024 2:30,5.57,3.6,6.23,1.36,4.5,4.66
7/19/2024 2:40,5.56,3.59,6.21,1.35,4.49,4.6
7/19/2024 2:50,5.54,3.58,6.19,1.34,4.48,4.59
7/19/2024 3:00,5.53,3.58,6.17,1.34,4.48,4.65
7/19/2024 3:10,5.53,3.52,6.16,1.34,4.47,4.55
7/19/2024 3:20,5.52,3.55,6.15,1.34,4.46,4.56
7/19/2024 3:30,5.52,3.53,6.13,1.32,4.45,4.51
7/19/2024 3:40,5.5,3.55,6.12,1.31,4.45,4.55
7/19/2024 3:50,5.46,3.53,6.09,1.3,4.45,4.5
7/19/2024 4:00,5.36,3.52,6.08,1.3,4.44,4.53
7/19/2024 4:10,5.27,3.51,6.06,1.29,4.45,4.54
7/19/2024 4:20,5.21,3.49,6.05,1.28,4.46,4.55
7/19/2024 4:30,5.15,3.41,6.03,1.28,4.49,4.48
7/19/2024 4:40,5.11,3.37,5.99,1.27,4.5,4.53
7/19/2024 4:50,5.09,3.32,5.96,1.26,4.53,4.5
7/19/2024 5:00,5.06,3.27,5.91,1.26,4.55,4.46
7/19/2024 5:10,5.03,3.28,5.88,1.25,4.58,4.42
7/19/2024 5:20,5.02,3.24,5.84,1.25,4.6,4.45
7/19/2024 5:30,4.99,3.21,5.81,1.24,4.6,4.39
7/19/2024 5:40,4.97,3.19,5.77,1.24,4.6,4.39
7/19/2024 5:50,4.96,3.16,5.74,1.23,4.59,4.39
7/19/2024 6:00,4.9,3.14,5.72,1.23,4.57,4.37
7/19/2024 6:10,4.86,3.13,5.69,1.23,4.56,4.36
7/19/2024 6:20,4.82,3.11,5.67,1.23,4.54,4.35
7/19/2024 6:30,4.8,3.07,5.64,1.22,4.51,4.3
7/19/2024 6:40,4.69,3.06,5.62,1.21,4.49,4.3
7/19/2024 6:50,4.61,3.03,5.59,1.21,4.47,4.29
7/19/2024 7:00,4.55,3.01,5.56,1.2,4.44,4.27
7/19/2024 7:10,4.5,2.98,5.53,1.2,4.42,4.24
7/19/2024 7:20,4.46,2.93,5.49,1.19,4.39,4.21
7/19/2024 7:30,4.44,2.87,5.45,1.19,4.37,4.18
7/19/2024 7:40,4.43,2.84,5.4,1.18,4.34,4.15
7/19/2024 7:50,4.45,2.81,5.35,1.18,4.31,4.11
7/19/2024 8:00,4.46,2.74,5.3,1.18,4.29,4.08
7/19/2024 8:10,4.45,2.76,5.26,1.17,4.26,4.05
7/19/2024 8:20,4.44,2.74,5.22,1.17,4.23,4.02
7/19/2024 8:30,4.44,2.73,5.18,1.18,4.2,3.98
7/19/2024 8:40,4.43,2.71,5.14,1.18,4.17,3.94
7/19/2024 8:50,4.42,2.7,5.11,1.17,4.14,3.9
7/19/2024 9:00,4.41,2.7,5.08,1.16,4.12,3.87
7/19/2024 9:10,4.4,2.7,5.04,1.16,4.09,3.84
7/19/2024 9:20,4.39,2.68,5.02,1.16,4.07,3.81
7/19/2024 9:30,4.37,2.67,4.99,1.15,4.04,3.78
7/19/2024 9:40,4.36,2.66,4.96,1.14,4.02,3.75
7/19/2024 9:50,4.35,2.65,4.93,1.13,4,3.72
7/19/2024 10:00,4.33,2.64,4.9,1.14,3.98,3.69
7/19/2024 10:10,4.28,2.64,4.87,1.15,3.95,3.67
7/19/2024 10:20,4.23,2.63,4.84,1.14,3.94,3.65
7/19/2024 10:30,4.19,2.61,4.82,1.14,3.92,3.62
7/19/2024 10:40,4.17,2.6,4.79,1.13,3.9,3.59
7/19/2024 10:50,4.15,2.56,4.76,1.12,3.88,3.57
7/19/2024 11:00,4.12,2.56,4.73,1.12,3.85,3.54
7/19/2024 11:10,4.09,2.53,4.69,1.13,3.85,3.53
7/19/2024 11:20,4.07,2.52,4.67,1.13,3.83,3.51
7/19/2024 11:30,4.01,2.5,4.63,1.12,3.82,3.46
7/19/2024 11:40,3.97,2.47,4.61,1.11,3.8,3.46
7/19/2024 11:50,3.94,2.46,4.56,1.11,3.79,3.44
7/19/2024 12:00,3.91,2.43,4.53,1.11,3.76,3.38
7/19/2024 12:10,3.77,2.41,4.5,1.1,3.75,3.4
7/19/2024 12:20,3.68,2.39,4.46,1.1,3.73,3.34
7/19/2024 12:30,3.61,2.37,4.43,1.09,3.72,3.29
7/19/2024 12:40,3.53,2.32,4.39,1.09,3.7,3.32
7/19/2024 12:50,3.46,2.28,4.35,1.1,3.67,3.3
7/19/2024 13:00,3.4,2.24,4.3,1.1,3.66,3.28
7/19/2024 13:10,3.34,2.2,4.26,1.09,3.65,3.23
7/19/2024 13:20,3.3,2.15,4.21,1.09,3.63,3.18
7/19/2024 13:30,3.26,2.11,4.15,1.08,3.61,3.16
7/19/2024 13:40,3.24,2.07,4.1,1.07,3.6,3.12
7/19/2024 13:50,3.23,2.03,4.05,1.07,3.58,3.07
7/19/2024 14:00,3.21,1.99,4.01,1.06,3.56,3.04
7/19/2024 14:10,3.21,1.97,3.96,1.06,3.54,3
7/19/2024 14:20,3.22,1.93,3.91,1.06,3.51,2.98
7/19/2024 14:30,3.23,1.91,3.85,1.06,3.49,2.94
7/19/2024 14:40,3.21,1.89,3.82,1.06,3.47,2.9
7/19/2024 14:50,3.22,1.88,3.77,1.05,3.45,2.87
7/19/2024 15:00,3.23,1.85,3.73,1.05,3.42,2.83
7/19/2024 15:10,3.28,1.84,3.7,1.05,3.39,2.8
7/19/2024 15:20,3.3,1.83,3.65,1.04,3.37,2.77
7/19/2024 15:30,3.32,1.82,3.63,1.04,3.35,2.74
7/19/2024 15:40,3.32,1.82,3.59,1.04,3.32,2.7
7/19/2024 15:50,3.33,1.82,3.56,1.04,3.3,2.68
7/19/2024 16:00,3.33,1.82,3.53,1.03,3.28,2.65
7/19/2024 16:10,3.33,1.82,3.51,1.04,3.26,2.62
7/19/2024 16:20,3.33,1.82,3.49,1.04,3.25,2.6
7/19/2024 16:30,3.32,1.82,3.47,1.04,3.23,2.57
7/19/2024 16:40,3.31,1.83,3.44,1.03,3.22,2.55
7/19/2024 16:50,3.31,1.82,3.43,1.03,3.21,2.53
7/19/2024 17:00,3.24,1.82,3.42,1.02,3.2,2.51
7/19/2024 17:10,3.23,1.83,3.39,1.02,3.2,2.5
7/19/2024 17:20,3.22,1.83,3.38,1.01,3.2,2.48
7/19/2024 17:30,3.21,1.82,3.37,1.01,3.2,2.47
7/19/2024 17:40,3.2,1.81,3.35,1.01,3.2,2.46
7/19/2024 17:50,3.2,1.8,3.33,1.01,3.2,2.45
7/19/2024 18:00,3.19,1.79,3.31,1.01,3.19,2.44
7/19/2024 18:10,3.19,1.78,3.3,1.01,3.18,2.43
